NAMESPACE         NAME                                                    READY   STATUS      RESTARTS      AGE   IP              NODE     NOMINATED NODE   READINESS GATES
calico-system     calico-kube-controllers-7f7959b5db-4nfvd                1/1     Running     0             26m   192.168.84.4    ubuntu   <none>           <none>
calico-system     calico-node-wh9lh                                       1/1     Running     0             26m   192.168.1.107   ubuntu   <none>           <none>
calico-system     calico-typha-5bb6ddbc59-tdjf7                           1/1     Running     0             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       cloud-controller-manager-ubuntu                         1/1     Running     2             27m   192.168.1.107   ubuntu   <none>           <none>
kube-system       etcd-ubuntu                                             1/1     Running     2             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       helm-install-rke2-calico-crd-x9h52                      0/1     Completed   0             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       helm-install-rke2-calico-frxj9                          0/1     Completed   1             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       helm-install-rke2-coredns-h62wf                         0/1     Completed   0             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       helm-install-rke2-ingress-nginx-6rnl7                   0/1     Completed   0             26m   192.168.84.3    ubuntu   <none>           <none>
kube-system       helm-install-rke2-metrics-server-hjtls                  0/1     Completed   0             26m   192.168.84.2    ubuntu   <none>           <none>
kube-system       helm-install-rke2-multus-lp9s2                          0/1     Completed   0             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       kube-apiserver-ubuntu                                   1/1     Running     2             26m   192.168.1.107   ubuntu   <none>           <none>
kube-system       kube-controller-manager-ubuntu                          1/1     Running     2             27m   192.168.1.107   ubuntu   <none>           <none>
kube-system       kube-proxy-ubuntu                                       1/1     Running     2             27m   192.168.1.107   ubuntu   <none>           <none>
kube-system       kube-scheduler-ubuntu                                   1/1     Running     2             27m   192.168.1.107   ubuntu   <none>           <none>
kube-system       rke2-coredns-rke2-coredns-775c5b4bb4-j9fn4              1/1     Running     0             26m   192.168.84.5    ubuntu   <none>           <none>
kube-system       rke2-coredns-rke2-coredns-autoscaler-695fc554c9-tgbnr   1/1     Running     0             26m   192.168.84.1    ubuntu   <none>           <none>
kube-system       rke2-ingress-nginx-controller-vm8vj                     1/1     Running     0             25m   192.168.84.8    ubuntu   <none>           <none>
kube-system       rke2-metrics-server-644f588b5-fpztc                     1/1     Running     0             25m   192.168.84.6    ubuntu   <none>           <none>
kube-system       rke2-multus-ds-b5pmz                                    1/1     Running     0             26m   192.168.1.107   ubuntu   <none>           <none>
omec              amf-6d48b46b7c-zhmj2                                    1/1     Running     0             24m   192.168.84.16   ubuntu   <none>           <none>
omec              ausf-598d988fd6-mrttm                                   1/1     Running     0             24m   192.168.84.15   ubuntu   <none>           <none>
omec              metricfunc-74544484d9-n9rdt                             1/1     Running     4 (22m ago)   24m   192.168.84.17   ubuntu   <none>           <none>
omec              mongodb-0                                               1/1     Running     0             24m   192.168.84.12   ubuntu   <none>           <none>
omec              mongodb-1                                               1/1     Running     0             22m   192.168.84.26   ubuntu   <none>           <none>
omec              mongodb-arbiter-0                                       1/1     Running     0             24m   192.168.84.11   ubuntu   <none>           <none>
omec              nrf-6cf5894df8-px2gw                                    1/1     Running     0             24m   192.168.84.24   ubuntu   <none>           <none>
omec              nssf-7586fdbf5c-4x59k                                   1/1     Running     0             24m   192.168.84.25   ubuntu   <none>           <none>
omec              pcf-c54bff48d-tghgb                                     1/1     Running     0             24m   192.168.84.14   ubuntu   <none>           <none>
omec              sd-core-kafka-0                                         1/1     Running     0             24m   192.168.84.23   ubuntu   <none>           <none>
omec              sd-core-zookeeper-0                                     1/1     Running     0             24m   192.168.84.20   ubuntu   <none>           <none>
omec              simapp-577b97f484-npztm                                 1/1     Running     0             24m   192.168.84.22   ubuntu   <none>           <none>
omec              smf-6dc797dbd9-dlrq6                                    1/1     Running     0             24m   192.168.84.18   ubuntu   <none>           <none>
omec              udm-67cdccbf4-zh5mx                                     1/1     Running     0             24m   192.168.84.13   ubuntu   <none>           <none>
omec              udr-58cd9997dd-fksjx                                    1/1     Running     0             24m   192.168.84.19   ubuntu   <none>           <none>
omec              upf-0                                                   5/5     Running     0             24m   192.168.84.21   ubuntu   <none>           <none>
omec              webui-6fdb774b75-6ffmr                                  1/1     Running     0             24m   192.168.84.10   ubuntu   <none>           <none>
tigera-operator   tigera-operator-b77ddd45f-6whlp                         1/1     Running     0             26m   192.168.1.107   ubuntu   <none>           <none>
